dataset,harness,model,family,provider,seed,baseline_auc,holdout_auc,holdout_ap,best_eval_auc,eval_minus_holdout,refit_suspect,provider_error,n_experiments,n_ok,n_timeout,n_crash,fit_seconds,wall_minutes,compute_share,tokens_in,tokens_out,cached_share,cost_usd_list,timed_out,violations,holdout_error,best_commit,best_commit_eval_auc,best_commit_holdout_auc,finalized_best,cpu_budget_seconds,cpu_seconds_python,cpu_seconds_counted,cpu_seconds_uncounted,cpu_seconds_container,cpu_seconds_overhead,cpu_seconds_budgeted,fits_total,fits_uncounted,cpu_refusals,cpu_over_budget,cpu_killed
airline,openclaw,glm-5.3,glm-5.3,lunaroute,1,0.714770751736,0.749777567328,0.7413033173530489,0.7507,0.0009224326719999842,False,,39,33,4,2,1988,102.7,0.323,17056076,177679,0.982,5.5613,False,,,,,,,18000,18347.5,9451.5,8557.2,18480.8,133.3,18008.7,172,113,0,True,False
airline,openclaw,glm-5.3,glm-5.3,lunaroute,2,0.714770751736,0.742932560814,0.7329206816301779,0.7416,-0.0013325608140000167,False,,40,38,1,1,2339,59.8,0.652,5480159,102468,0.93,2.3148,False,,,,,,,18000,9477.6,8995.1,2.4,9550.6,73.0,8997.5,708,0,0,False,False
airline,openclaw,glm-5.3,glm-5.3,lunaroute,3,0.714770751736,0.743996615386,0.7350274674271338,0.7433,-0.0006966153860000768,False,,40,38,1,1,2950,72.3,0.68,6953747,115030,0.979,2.4838,False,,,,,,,18000,11256.8,10844.5,0.0,11335.5,78.7,10844.5,304,0,0,False,False
airline,opencode,glm-5.3,glm-5.3,lunaroute,1,0.714770751736,0.755671442804,0.746981581483833,0.7557,2.8557196000034146e-05,False,,30,29,0,1,1942,90.7,0.357,4269633,40580,0.92,1.6794,False,,,,,,,18000,17182.4,7085.0,9362.1,17602.6,420.2,16447.1,1721,953,0,False,False
airline,opencode,glm-5.3,glm-5.3,lunaroute,2,0.714770751736,0.7433906572360001,0.7300345942774844,0.7414,-0.001990657236000115,False,,40,38,0,2,1203,29.3,0.684,5211262,17245,0.995,1.4598,False,,,,,,,18000,4970.3,4512.6,0.0,5185.6,215.3,4512.6,301,0,0,False,False
airline,opencode,glm-5.3,glm-5.3,lunaroute,3,0.714770751736,0.721532395056,0.7118476342933192,0.7205,-0.0010323950559999462,False,,40,40,0,0,2635,59.6,0.737,6723666,28961,0.996,1.9091,False,,,,,,,18000,10601.0,10114.4,11.0,10907.8,306.8,10125.4,982,0,0,False,False
airline,pi,glm-5.3,glm-5.3,lunaroute,1,0.714770751736,0.744942761572,0.7374360166392956,0.744,-0.0009427615720000171,False,,40,38,1,1,1568,39.3,0.665,2997634,47524,0.959,1.1302,False,,,,,,,18000,6689.6,6269.2,1.7,6709.9,20.3,6270.9,89,0,0,False,False
airline,pi,glm-5.3,glm-5.3,lunaroute,2,0.714770751736,0.838555168898,0.8318281537765474,1.0,0.16144483110200003,True,,12,12,0,0,478,84.2,0.095,4683517,75564,0.98,1.6563,False,suspicious-train-py:holdout,,,,,,18000,16753.5,1782.7,14970.8,16782.1,28.6,16753.5,256,244,0,False,False
airline,pi,glm-5.3,glm-5.3,lunaroute,3,0.714770751736,0.757192287058,0.7398057933131571,0.7565,-0.0006922870580000628,False,,16,14,0,2,446,113.6,0.065,7612376,139968,0.962,2.9244,False,suspicious-train-py:holdout,,,,,,18000,14974.0,873.5,13938.4,15022.4,48.4,14811.9,3159,3020,0,False,False
airline,claude,glm-5.3-flash,glm-5.3-flash,lunaroute,1,0.714770751736,0.754746105642,0.742445697483048,0.7539,-0.0008461056419999391,False,,12,11,0,1,299,73.1,0.068,5240087,88473,0.988,0.2091,False,,,,,,,18000,14760.2,1100.1,13375.7,14828.8,68.6,14475.8,563,512,0,False,False
airline,claude,glm-5.3-flash,glm-5.3-flash,lunaroute,2,0.714770751736,0.744032893642,0.7342110915695594,0.7428,-0.0012328936419999659,False,,40,37,1,2,790,19.8,0.664,4075368,29772,0.99,0.142,False,,,,,,,18000,3587.1,3387.8,2.5,3576.3,-10.8,3390.3,45,0,0,False,False
airline,claude,glm-5.3-flash,glm-5.3-flash,lunaroute,3,0.714770751736,0.743781672054,0.7330804972167418,0.7425,-0.0012816720539999826,False,,40,40,0,0,653,14.1,0.77,2130028,23222,0.971,0.083,False,,,,,,,18000,2534.0,2330.5,1.6,2560.0,26.0,2332.1,126,0,0,False,False
airline,codex,glm-5.3-flash,glm-5.3-flash,lunaroute,1,0.714770751736,0.7357616466700001,0.7242931412704892,0.7356,-0.0001616466700000707,False,,40,35,0,5,1255,24.7,0.848,2486724,26728,0.988,0.0915,False,,,,,,,18000,4903.5,4650.8,1.4,4904.7,1.2,4652.2,82,0,0,False,False
airline,codex,glm-5.3-flash,glm-5.3-flash,lunaroute,2,0.714770751736,0.7221235099500001,0.7103459701139335,0.7213,-0.0008235099500000231,False,,40,39,0,1,298,9.0,0.55,3444645,32888,0.974,0.1304,False,,,,,,,18000,839.2,813.0,0.0,859.6,20.4,813.0,43,0,0,False,False
airline,codex,glm-5.3-flash,glm-5.3-flash,lunaroute,3,0.714770751736,0.7183705088500001,0.7075714742094746,0.7177,-0.0006705088500000844,False,,40,35,0,5,161,5.8,0.466,2461452,25097,0.989,0.0895,False,,,,,,,18000,477.3,451.9,0.0,469.4,-7.9,451.9,161,0,0,False,False
airline,hermes,glm-5.3-flash,glm-5.3-flash,lunaroute,1,0.714770751736,0.732149429008,0.7226208093570892,0.7309,-0.0012494290079999582,False,,40,33,7,0,2227,60.8,0.611,6224750,36786,0.98,0.2201,False,,,,,,,18000,12437.4,11924.4,1.8,12499.9,62.5,11926.2,306,0,0,False,False
airline,hermes,glm-5.3-flash,glm-5.3-flash,lunaroute,2,0.714770751736,0.738937070676,0.7270179426535682,0.739,6.292932399998286e-05,False,,40,39,1,0,1546,35.4,0.727,5797030,32282,0.98,0.204,False,,,,,,,18000,6814.2,6352.2,0.3,6853.6,39.4,6352.5,188,0,0,False,False
airline,hermes,glm-5.3-flash,glm-5.3-flash,lunaroute,3,0.714770751736,0.7333561640099999,0.72802842476672,0.7345,0.0011438359900001194,False,,40,35,2,3,2643,66.8,0.659,7084500,63059,0.99,0.2527,False,,,,,,,18000,13726.2,11732.4,472.8,13821.8,95.6,12205.2,222,14,0,False,False
airline,openclaw,glm-5.3-flash,glm-5.3-flash,lunaroute,1,0.714770751736,0.720762317134,0.7104618631981917,0.7205,-0.00026231713399993417,False,,40,38,0,2,136,10.5,0.216,3032858,74660,0.94,0.1502,False,,,,,,,18000,356.0,335.3,10.5,384.7,28.7,345.8,95,3,0,False,False
airline,openclaw,glm-5.3-flash,glm-5.3-flash,lunaroute,2,0.714770751736,0.734879564704,0.7284209173654319,0.734,-0.0008795647039999688,False,,40,32,5,3,1437,40.4,0.593,8989474,96407,0.974,0.3459,False,suspicious-train-py:holdout,,,,,,18000,7152.6,6756.5,9.8,7213.0,60.4,6766.3,70,1,0,False,False
airline,openclaw,glm-5.3-flash,glm-5.3-flash,lunaroute,3,0.714770751736,0.742796556304,0.732711784334552,0.7424,-0.0003965563040000397,False,,40,38,1,1,1620,43.3,0.624,7686227,123926,0.98,0.3108,False,,,,,,,18000,7135.7,6642.2,2.6,7212.6,76.9,6644.8,133,0,0,False,False
airline,opencode,glm-5.3-flash,glm-5.3-flash,lunaroute,1,0.714770751736,0.751278283044,0.7447064744493899,0.75,-0.001278283044000017,False,,34,31,2,1,2597,102.2,0.423,8892691,36117,0.989,0.2969,False,,,,,,,18000,18377.2,10969.8,6907.9,22180.2,3803.0,17877.7,266,175,1,False,False
airline,opencode,glm-5.3-flash,glm-5.3-flash,lunaroute,2,0.714770751736,0.738504411326,0.7264282804614868,0.737,-0.001504411325999988,False,,40,37,0,3,1540,32.5,0.791,5343739,19319,0.993,0.1745,False,,,,,,,18000,6193.3,5854.3,0.0,6333.3,140.0,5854.3,139,0,0,False,False
airline,opencode,glm-5.3-flash,glm-5.3-flash,lunaroute,3,0.714770751736,0.742925229626,0.7372374362005195,0.7422,-0.000725229626000079,False,,40,35,5,0,2135,52.9,0.673,2792596,18011,0.991,0.0959,False,,,,,,,18000,10921.8,10459.8,2.9,11110.6,188.8,10462.7,59,0,0,False,False
airline,pi,glm-5.3-flash,glm-5.3-flash,lunaroute,1,0.714770751736,0.734154574372,0.7248766328376456,0.7337,-0.00045457437200002726,False,,40,29,2,9,1292,37.2,0.579,8289060,87227,0.983,0.3094,False,,,,,,,18000,6487.6,6169.2,2.3,6512.8,25.2,6171.5,201,0,0,False,False
airline,pi,glm-5.3-flash,glm-5.3-flash,lunaroute,2,0.714770751736,0.7363599963240001,0.7250058876831025,0.7342,-0.002159996324000102,False,,40,32,6,2,2798,67.4,0.692,5199691,54011,0.982,0.1943,False,,,,,,,18000,13753.4,13228.3,1.7,14242.4,489.0,13230.0,158,0,0,False,False
airline,pi,glm-5.3-flash,glm-5.3-flash,lunaroute,3,0.714770751736,0.7291854934980001,0.7188808000120783,0.7279,-0.001285493498000112,False,,40,38,0,2,1850,38.5,0.802,3543686,39053,0.991,0.1298,False,,,,,,,18000,7792.3,7059.7,1.7,7756.4,-35.9,7061.4,134,0,0,False,False
airline,claude,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,1,0.714770751736,0.752001677192,0.7401496000780001,0.7509,-0.001101677191999939,False,,40,35,2,3,2633,92.7,0.473,6092907,82904,0.972,0.093,False,,,,,,,18000,18767.6,10938.3,6910.8,18883.2,115.6,17849.1,193,99,0,False,False
airline,claude,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,2,0.714770751736,0.736889989032,0.7291150639720103,0.7373,0.00041001096799997416,False,,37,36,0,1,2236,97.2,0.384,9391200,98090,0.974,0.1225,False,,,,,,,18000,17224.2,8393.8,8442.8,17355.3,131.1,16836.6,443,235,0,False,False
airline,claude,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,3,0.714770751736,0.7352669946299999,0.727845723761854,0.7359,0.0006330053700001059,False,,40,37,2,1,2052,61.6,0.555,7570526,80658,0.963,0.1119,False,,,,,,,18000,9747.3,8535.6,708.1,9856.2,108.9,9243.7,116,9,0,False,False
airline,codex,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,1,0.714770751736,0.743413364054,0.7321154758354376,0.7411,-0.0023133640540000666,False,,40,38,0,2,2466,48.6,0.846,4387812,53698,0.969,0.0654,False,,,,,,,18000,9916.0,9509.6,4.6,9952.0,36.0,9514.2,319,0,0,False,False
airline,codex,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,2,0.714770751736,0.743533639512,0.73434378349267,0.744,0.00046636048799997276,False,,27,25,0,2,1331,92.9,0.239,9391361,134521,0.971,0.1489,False,,,,,,,18000,17362.7,5177.0,11769.9,17417.3,54.6,16946.9,1121,993,0,False,False
airline,codex,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,3,0.714770751736,0.7432826654420001,0.7365877952271375,0.7429,-0.0003826654420000519,False,,40,37,1,2,1444,34.2,0.704,4606173,67786,0.979,0.0689,False,,,,,,,18000,6328.9,5886.9,5.0,6366.0,37.1,5891.9,184,0,0,False,False
airline,hermes,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,1,0.714770751736,0.752551363826,0.7438061652774421,0.7537,0.0011486361740000728,False,,18,17,1,0,368,87.3,0.07,7681115,75615,0.984,0.0859,False,,,,,,,18000,17782.3,1812.9,15614.6,17929.9,147.6,17427.5,556,510,0,False,False
airline,hermes,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,2,0.714770751736,0.729886417216,0.7205675897538654,0.7303,0.00041358278399994397,False,,40,24,11,5,1278,66.6,0.32,6366896,89150,0.966,0.1042,False,,,,,,,18000,10578.7,10080.5,5.1,10814.1,235.4,10085.6,1519,0,0,False,False
airline,hermes,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,3,0.714770751736,0.7402859022159999,0.733015717860315,0.7411,0.0008140977840001007,False,,13,12,0,1,495,136.9,0.06,10618579,123784,0.951,0.182,False,suspicious-train-py:holdout,,,,,,18000,17387.9,1925.6,15253.7,19441.9,2054.0,17179.3,409,365,0,False,False
airline,openclaw,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,1,0.714770751736,0.742552849976,0.7343213706120335,0.7434,0.0008471500239999319,False,,40,36,1,3,1138,30.1,0.631,12279952,45434,0.985,0.0917,False,,,,,,,18000,5385.3,5036.8,0.0,5467.5,82.2,5036.8,455,0,0,False,False
airline,openclaw,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,2,0.714770751736,0.725911185226,0.7124122785943964,0.7234,-0.0025111852259999123,False,,40,27,0,13,544,30.7,0.295,24112411,55444,0.992,0.1336,False,suspicious-train-py:holdout,,,,,,18000,1975.9,1893.1,1.6,2089.8,113.9,1894.7,46,0,0,False,False
airline,openclaw,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,3,0.714770751736,0.7337878899239999,0.7259195759408974,0.7342,0.00041211007600006067,False,,40,32,0,8,838,25.8,0.542,8942929,36689,0.976,0.0803,False,,,,,,,18000,3075.7,2938.4,0.0,3155.5,79.8,2938.4,37,0,0,False,False
airline,opencode,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,1,0.714770751736,0.7256642174379999,0.7155026867116404,0.7251,-0.0005642174379999476,False,,40,39,0,1,167,8.4,0.332,1225969,19072,0.875,0.0376,False,,,,,,,18000,448.9,423.6,2.3,558.6,109.7,425.9,42,0,0,False,False
airline,opencode,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,2,0.714770751736,0.747747159274,0.739156729688202,0.7484,0.0006528407259999147,False,,18,18,0,0,525,93.2,0.094,4917558,71968,0.912,0.1217,False,,,,,,,18000,17865.6,1924.6,15580.8,19407.7,1542.1,17505.4,492,473,0,False,False
airline,opencode,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,3,0.714770751736,0.7299035927499999,0.7178876638053305,0.7296,-0.0003035927499999147,False,,40,36,0,4,1178,32.1,0.612,7784233,53588,0.96,0.1007,False,,,,,,,18000,4801.2,4234.8,27.9,5178.0,376.8,4262.7,106,1,0,False,False
airline,pi,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,1,0.714770751736,0.7639598588559999,0.7540651683550968,0.7632,-0.0007598588559999397,False,,21,21,0,0,1277,93.3,0.228,4918096,89057,0.976,0.0853,False,suspicious-train-py:holdout,,,,,,18000,17677.7,4850.0,12340.1,19661.1,1983.4,17190.1,181,158,0,False,False
airline,pi,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,2,0.714770751736,0.7498098617000001,0.7383659656747956,0.7492,-0.0006098617000001028,False,,18,16,2,0,639,109.7,0.097,6320647,105586,0.958,0.1213,False,,,,,,,18000,17773.9,3024.2,14317.1,19267.4,1493.5,17341.3,471,426,0,False,False
airline,pi,deepseek-v4.1-flash,deepseek-4.1-flash,ollama,3,0.714770751736,0.744178301506,0.7356717721194731,0.7446,0.00042169849400008896,False,,40,35,1,4,2293,54.0,0.707,3359647,47754,0.962,0.0576,False,,,,,,,18000,9342.6,8945.8,1.8,9379.9,37.3,8947.6,54,0,0,False,False
airline,claude,deepseek-v4-flash:0731,deepseek-v4-flash:0731,ollama,1,0.714770751736,0.732541667582,0.7271361138820138,0.7331,0.0005583324179999627,False,,40,36,2,2,1934,75.2,0.429,6725931,145631,0.114,1.4128,False,,,,,,,18000,8479.6,8038.2,1.1,8606.6,127.0,8039.3,734,0,0,False,False
airline,claude,deepseek-v4-flash:0731,deepseek-v4-flash:0731,ollama,2,0.714770751736,0.75283293172,0.7412217668792358,0.7526,-0.00023293171999994033,False,,40,35,4,1,2829,106.1,0.444,13783293,253885,0.086,2.9472,False,,,,,,,18000,13112.5,12201.4,491.3,13296.8,184.3,12692.7,200,7,0,False,False
airline,claude,deepseek-v4-flash:0731,deepseek-v4-flash:0731,ollama,3,0.714770751736,0.725857004486,0.7163224734173357,0.7254,-0.0004570044859999456,False,,12,7,0,5,36,54.5,0.011,,,,,False,,,,,,,18000,7082.0,125.0,6957.0,8033.0,951.0,7082.0,446,436,0,False,False
airline,codex,deepseek-v4-flash:0731,deepseek-v4-flash:0731,ollama,1,0.714770751736,0.737016188496,0.7294752932369711,0.7367,-0.00031618849600001386,False,,40,35,0,5,634,28.3,0.373,5902826,87073,0.964,0.144,False,,,,,,,18000,2190.0,2046.3,9.7,2229.5,39.5,2056.0,208,0,0,False,False
