study,box,harness,model,seed,compliant,holdout_auc,auc_2006_rescored,auc_2007,seconds,error
study2,var4,opencode,deepseek-4.1-flash,44,True,0.748993578692,0.748991,0.736776,133,
study2,var4,opencode,deepseek-4.1-flash,48,True,0.7347855706140001,0.734150,0.732501,29,
study2,var4,opencode,deepseek-4.1-flash,46,True,0.7283398095340001,0.728354,0.722069,117,
study2,var4,opencode,deepseek-4.1-flash,42,True,0.747557612254,0.747512,0.723878,300,
study2,var4,opencode,deepseek-4.1-flash,51,True,0.7424048805900001,0.742148,0.726863,80,
study2,var4,opencode,deepseek-4.1-flash,47,True,0.727182010372,0.727095,0.729049,205,
study2,var4,opencode,deepseek-4.1-flash,50,True,0.74971406797,0.749728,0.735109,238,
study2,var4,opencode,deepseek-4.1-flash,52,True,0.7232484732840001,0.723230,0.726422,277,
study2,var1,opencode,glm-5.3-flash,1,True,0.751751832816,0.752108,0.717687,243,
study2,var1,opencode,glm-5.3-flash,2,True,0.7348505917879999,0.733829,0.722628,168,
study2,var1,opencode,glm-5.3-flash,4,True,0.754893828098,0.754900,0.731097,74,
study2,var4,opencode,deepseek-4.1-flash,49,True,0.73762425824,0.737756,0.730099,518,
study2,var1,opencode,glm-5.3-flash,5,True,0.7349439724860001,0.734959,0.713869,161,
study2,var1,opencode,glm-5.3-flash,3,True,0.732638602384,0.732439,0.712541,195,
study2,var1,opencode,glm-5.3-flash,6,True,0.7486125513179999,0.748815,0.729050,144,
study2,var1,opencode,glm-5.3-flash,8,True,0.7493263163799999,0.749184,0.716689,155,
study2,var1,opencode,glm-5.3-flash,7,True,0.748265182092,0.747322,0.731996,282,
study2,var1,opencode,glm-5.3-flash,10,True,0.7385365776,0.738893,0.727009,199,
study2,var1,opencode,glm-5.3-flash,9,True,0.7429399505259999,0.744020,0.735049,228,
study2,var2,opencode,glm-5.3-flash,14,True,0.723808198642,0.723573,0.725798,63,
study2,var1,opencode,glm-5.3-flash,12,True,0.726228977184,0.726140,0.726292,124,
study2,var1,opencode,glm-5.3-flash,11,True,0.748624026506,0.749340,0.730594,234,
study2,var1,opencode,glm-5.3-flash,13,True,0.7404809539499999,0.740373,0.720568,177,
study2,var2,opencode,glm-5.3-flash,17,True,0.734993604142,0.734050,0.723240,35,
study2,var2,opencode,glm-5.3-flash,16,True,0.73227017865,0.731885,0.704074,113,
study2,var2,opencode,glm-5.3-flash,15,True,0.74649152246,0.746258,0.725553,256,
study2,var2,opencode,glm-5.3-flash,20,True,0.751384072108,0.751268,0.732167,155,
study2,var2,opencode,glm-5.3-flash,19,True,0.737045130962,0.737101,0.729583,215,
study2,var2,opencode,glm-5.3-flash,18,True,0.752620288078,0.750459,0.733084,230,
study2,var2,opencode,glm-5.3-flash,21,True,0.725808682876,0.726075,0.724884,122,
study2,var2,opencode,glm-5.3-flash,25,True,0.717024537116,0.716178,0.719865,5,
study2,var2,opencode,glm-5.3-flash,24,True,0.743333918226,0.743067,0.722862,79,
study2,var2,opencode,glm-5.3-flash,22,True,0.736038058418,0.735863,0.728345,174,
study2,var2,opencode,glm-5.3-flash,23,False,0.829295190514,0.829553,0.766169,152,
study2,var3,opencode,glm-5.3-flash,27,True,0.729075796748,0.729076,0.728822,69,
study2,var3,opencode,glm-5.3-flash,30,True,0.742442784674,0.742717,0.728435,82,
study2,var2,opencode,glm-5.3-flash,26,True,0.7445854049480001,0.744440,0.723188,254,
study2,var3,opencode,glm-5.3-flash,28,True,0.72611472765,0.722589,0.710813,166,
study2,var3,opencode,glm-5.3-flash,33,True,0.759609318876,0.759657,0.728107,78,
study2,var3,opencode,glm-5.3-flash,29,True,0.7366131223179999,0.736651,0.729554,283,
study2,var3,opencode,glm-5.3-flash,32,True,0.7354113910919999,0.735411,0.724120,151,
study2,var3,opencode,glm-5.3-flash,34,True,0.7525451461740001,0.752420,0.729855,98,
study2,var3,opencode,glm-5.3-flash,31,True,0.753205363642,0.752826,0.722857,271,
study2,var3,opencode,glm-5.3-flash,36,True,0.731310972394,0.730664,0.727157,79,
study2,var3,opencode,glm-5.3-flash,35,True,0.742681523516,0.742669,0.732987,224,
