box,harness,model,seed,counted,source,status,holdout_auc,holdout_ap,baseline_auc,best_eval_auc,eval_minus_holdout,refit_suspect,violations,violations_hard,violations_review,frame_stats,frame_stats_kinds,frame_stats_lines,best_commit_holdout_auc,delivered_minus_best_commit,n_experiments,n_ok,n_timeout,n_crash,timed_out,stalled,disk_blowup,cpu_killed,cpu_refusals,cpu_over_budget,fits_total,fits_uncounted,cpu_seconds_counted,cpu_seconds_uncounted,cpu_seconds_container,exit_code,endpoint_at_end,final_md_written,provider_error,provider_error_recorded,holdout_error,wall_minutes,tokens_in,tokens_out,started,ended,cpuset,scored_on
var6,hermes,glm-5.3,20,False,set_aside,provider_error,0.751262692458,0.7435824656659873,0.714770751736,0.7508,-0.0005,False,,,,False,,,,,32,25,5,2,False,False,False,False,0,False,224,93,7071.1,3755.3,11070.3,1,ok,False, use pattern matching only api call failed after 3 retries: http 429: organizati, use pattern matching only api call failed after 3 retries: http 429: organizati,,136.2,7230271,52314,2026-09-17T03:03:47+00:00,2026-09-17T05:19:58+00:00,4-7,Linux-x86_64-docker
var6,hermes,glm-5.3,21,True,runs,scored,0.738051822756,0.7254133773722258,0.714770751736,0.7387,0.0006,False,,,,False,,,0.738051822756,0.0,40,40,0,0,False,False,False,False,0,False,47,0,2424.1,0.3,2729.6,0,ok,True,,,,22.3,6709869,39876,2026-09-17T14:21:12+00:00,2026-09-17T14:43:30+00:00,4-7,Linux-x86_64-docker
var6,hermes,glm-5.3,21,False,set_aside,provider_error,0.714770751736,0.7041294810841159,0.714770751736,,,False,,,,False,,,,,0,0,0,0,False,False,False,False,0,False,,,0.0,0.2,10.6,1,HTTP 429: Organization has reached its maximum number of concurrent requests.,False, use pattern matching only api call failed after 3 retries: http 429: organizati, use pattern matching only api call failed after 3 retries: http 429: organizati,,6.7,12552,62,2026-09-17T04:04:23+00:00,2026-09-17T04:11:05+00:00,0-3,Linux-x86_64-docker
var6,hermes,glm-5.3,22,True,runs,scored,0.752740855854,0.7426193189656703,0.714770751736,0.7525,-0.0002,False,,,,False,,,0.752740855854,0.0,40,37,2,1,False,False,False,False,0,False,164,0,8891.4,0.3,9375.5,0,ok,True,,,,84.5,5261057,33205,2026-09-17T07:12:53+00:00,2026-09-17T08:37:24+00:00,12-15,Linux-x86_64-docker
var6,hermes,glm-5.3,23,True,runs,scored,0.758409465518,0.7478996267301448,0.714770751736,0.754,-0.0044,False,,,,False,,,0.7554337209619999,0.003,20,19,1,0,False,False,False,False,6,True,557,500,2358.1,15659.1,19390.7,0,ok,True,,,,153.9,13678907,108476,2026-09-17T07:36:45+00:00,2026-09-17T10:10:41+00:00,0-3,Linux-x86_64-docker
var6,hermes,glm-5.3,24,True,runs,scored,0.7490491730720001,0.7398373034222001,0.714770751736,0.7486,-0.0004,False,suspicious-train-py:holdout,,suspicious-train-py:holdout,False,,,0.7490491730720001,0.0,40,34,4,2,False,False,False,False,0,False,159,0,7533.1,3.4,8091.2,0,ok,True,,,,46.1,6916057,50010,2026-09-17T09:35:59+00:00,2026-09-17T10:22:06+00:00,4-7,Linux-x86_64-docker
var6,hermes,glm-5.3,25,True,runs,scored,0.7619845387500002,0.7510857814742621,0.714770751736,0.7626,0.0006,False,,,,False,,,0.7619845387500002,0.0,35,33,0,2,False,False,False,False,0,False,375,277,5368.5,11860.9,17796.2,0,ok,True,,,,92.4,15662702,109608,2026-09-17T10:25:26+00:00,2026-09-17T11:57:52+00:00,4-7,Linux-x86_64-docker
var6,hermes,glm-5.3,26,True,runs,scored,0.8343701363399999,0.8284909327515209,0.714770751736,1.0,0.1656,True,,,,False,,,0.830601071112,0.0038,14,11,3,0,False,False,False,False,0,True,191,163,3726.6,14305.7,18136.8,0,ok,True,,,,91.2,7303124,52365,2026-09-17T12:01:52+00:00,2026-09-17T13:33:03+00:00,4-7,Linux-x86_64-docker
var7,hermes,glm-5.3,27,True,runs,scored,0.766160236356,0.754247335834323,0.714770751736,0.7687,0.0025,False,,,,False,,,0.766160236356,0.0,16,15,1,0,False,False,False,False,0,False,395,351,1947.2,15818.6,18918.3,0,ok,True,,,,115.4,13508244,81095,2026-09-16T18:28:12+00:00,2026-09-16T20:23:36+00:00,8-11,Linux-x86_64-docker
var7,hermes,glm-5.3,28,True,runs,scored,0.7420951656139999,0.7321984776731716,0.714770751736,0.7413,-0.0008,False,,,,False,,,0.7420951656139999,0.0,8,6,0,2,False,True,False,False,0,False,240,229,358.3,8870.8,9304.9,137,ok,False,,,,56.6,2924551,48460,2026-09-16T20:19:48+00:00,2026-09-16T21:16:22+00:00,0-3,Linux-x86_64-docker
